,Description,Genre
3492,"A young interracial couple has just moved into their California dream home when they become the target of their next-door neighbor, who disapproves of their relationship. A tightly wound LAPD officer has appointed himself the watchdog of the neighborhood. His nightly foot patrols and overly watchful eyes bring comfort to some, but he becomes increasingly aggressive to the newlyweds. These persistent intrusions into their lives cause the couple to fight back.",Crime
3493,"A car explodes outside a primary school where GSI's Chief Patrick Agrell has just left his children.The event reconnects Johan Falk to Leo Gaut, a former criminal restaurant owner Johan put behind bars a decade ago.",Non Crime
3494,"The film's plot is based on the Kennedy assassination and subsequent investigation. The film begins with the assassination of President Marc Jarry, who is about to be inaugurated for a second six-year term of office. Henri Volney, state attorney and member of the commission charged with investigating the assassination (based on the Warren Commission) refuses to agree to the commission's final findings. The film portrays the initial controversy about this, as well as Volney and his staff's reopening of the investigation.",Crime
3495,"After a botched heist, Eddie  a murderous crime boss, hunts down the seductive thief Karen who failed him. In order to win back Eddie’s trust, Karen recruits her ex-lover and premier thief Jack to steal a cargo of rare precious gems. But when the job goes down, allegiances are betrayed and lines are crossed as Jack, Karen, and Eddie face off in a fateful showdown.",Crime
3496,"Ruthless killer for hire breaks the rules of his profession and falls for a beautiful young woman. Discovering the notorious gangland brothers had hired him to kill her father, his world breaks down and he must turn against his criminal employers and their gang to save the woman he loves.",Crime
3497,"Two brothers plan to steal the precious jewel of Nefertiti's eye in a famous exhibition hall, but they are not the only ones who want it. There is a scuffle in which a policeman dies and one of the robbers falls on the dead man.",Non Crime
3498,"Dito Tsintsadze's drama focuses on a loner whose life changes dramatically, when he gets to know a beautiful, but strange girl. Lukas, a young man doing ""meals on wheels"" instead of military service, doesn't have many friends and leads a boring life, until he meets Isabella. The fascinating girl soon becomes his best friend, but Lukas learns she has a sexual relationship to her stepfather. Thus, he is obsessed with the idea of delivering Isabella by killing the man..",Crime
3499,"A self-absorbed Black American fashion model on a photo shoot in Africa is spiritually transported back to a plantation in the West Indies where she experiences first-hand the physical and psychic horrors of chattel slavery, and eventually the redemptive power of community and rebellion as she becomes a member of a freedom-seeking Maroon colony.",Non Crime
3500,"Desperate to be free from her drunken, unloving mother Diane, the beautiful, scheming young Mini seduces her stepfather Martin and soon convinces him to join her in a sadistic scheme to have Diane declared insane. But their conspiracy soon escalates to murder and when John Garson, a young detective starts investigating, Martin and Mini begin to turn on each other.",Crime
3501,"During her traumatic childhood with an abusive father, Emma relied on an imaginary friend for strength. She is now an artist struggling with mental illness living with her apparently loving husband, Brad. But when Emma's imaginary friend starts reappearing, she knows she's losing her grip. Desperate to save her marriage and show Brad she is in control, Emma takes drastic measures to free herself of her torment and her imaginary friend.",Non Crime
3502,"Sir Arthur Conan Doyle's Sherlock Holmes - the world's greatest detective - faces a most alluring adversary... Legendary opera star Irene Adler is threatening to destroy the King of Bohemia's reputation with proof of their illicit affair. The evidence? A photograph. Her ransom? The king's hand in marriage. But not only does investigating detective Sherlock Holmes already know Irene from the past, he also knows that the queen of manipulation would never resort to such a common crime. After uncovering her true ambitions, Holmes draws the cunning songstress into a well-matched game of cat and mouse",Crime
3503,"During a future ice age, dying humanity occupies its remaining time by playing a board game called Quintet. For one small group, this obsession is not enough. They play the game with living pieces, and only the winner survives.",Non Crime
3504,A seven-part docuseries about the unsolved murder of a nun and the horrific secrets and pain that linger nearly five decades after her death.,Crime
3505,"Long considered lost since its first release, the Gillette film is a vital missing link in the history of Holmes on screen.By the time the film was made, Gillette had been established as the world’s foremost interpreter of Holmes on stage. He gave his face and manner to the detective and inspired the classic illustrations of Frederic Dorr Steele.The film faithfully retains the play’s famous set pieces—Holmes’s encounter with Professor Moriarty, his daring escape from the Stepney Gas Chamber, and the tour-de-force deductions—and illustrates how Gillette wove bits from Conan Doyle’s stories, ranging from “A Scandal in Bohemia” to “The Final Problem,” into an original, innovative mystery play.",Non Crime
3506,"In this sword-and-sorcery extravaganza, a group of marauding Knights Templar suffers a curse that transforms them into monsters, driving them to square off against an evil dragon obsessed with annihilating the entire world.",Non Crime
3507,"A girl from bourgeoisie discovers the pleasures of banditism, following her lover in his lifestyle.",Crime
3508,"Picking up directly where the previous film left off, the story follows Riley, one of the last people to come in contact with Samantha, as he scrambles to track down those responsible for the outbreak before the highly contagious disease not only consumes his body, but the world as we know it.",Non Crime
3509,"Three twenty-something couples, one gay, one lesbian, and one straight, travel to a beach house to enjoy the last days of summer, but what should be a fun and carefree weekend becomes an exploration of what it takes to sustain a healthy relationship.",Non Crime
3510,"""Mad"" Mary McArdle returns to Drogheda after a short spell in prison for something she'd rather forget. Back home, everything and everyone has changed. Her best friend, Charlene, is about to get married and Mary is maid of honor. When Charlene refuses Mary a 'plus one' on the grounds that she probably couldn't find a date, Mary becomes determined to prove her wrong.",Non Crime
3511,"At 10 years old, Owens becomes a ragged orphan when his sainted mother dies. The Conways, who are next door neighbors, take Owen in, but the constant drinking by Jim soon puts Owen on the street. By 17, Owen learns that might is right. By 25, Owen is the leader of his own gang who spend most of their time gambling and drinking. But Marie comes into the gangster area of town and everything changes for Owen as he falls for Marie. But he cannot tell her so, so he comes to her settlement to find education and inspiration. But soon, his old way of life will rise to confront him again.",Crime
3512,"Judge Clarence Thomas' nomination to the United States' Supreme Court is called into question when former colleague, Anita Hill, testifies that he had sexually harassed her.",Non Crime
3513,Based on the play by 'Joe Orton' this film follows the adventures of two pals who have pulled off a bank robbery and have to hide the loot. Fortunately (?) one of them works in a funeral parlour and they have a coffin to spare.,Crime
3514,It was at a very young age that Abby found herself experimenting with the gift of art while she practically...,Non Crime
3515,"Smart. Outspoken. Opinionated. Three-time Emmy Award winner Wanda Sykes is back! Reigning over everything from television sitcoms to feature films, this comedienne extraordinaire has returned in her second solo HBO comedy special, I’ma Be Me. Live from Washington D.C. and edgier than ever, Wanda holds nothing back as she riffs on the perks of having a black President, coming out, getting married, motherhood, aging and twenty-first century pirates. With her trademark wit, Wanda shocks and astonishes at every turn in this feature-length special.",Non Crime
3516,"Orfeu is a popular composer from a samba school. He lives in the favela and falls madly in love when he meets Euridice, a newcomer to the neighborhood. But the local drug boss Lucinho stands between them and will drastically change both their lives.",Crime
3517,The bombing of the Alfred P. Murrah Federal Building in Oklahoma City in April 1995 is the worst act of domestic terrorism in American history. This documentary explores how a series of deadly encounters between American citizens and federal law enforcement—including the standoffs at Ruby Ridge and Waco—led to it.,Non Crime
3518,A pair of criminals try to track down the kids who witnessed them commit a murder in the woods.,Non Crime
3519,"Zoe Saldana plays a young woman who, after witnessing her parents’ murder as a child in Bogota, grows up to be a stone-cold assassin. She works for her uncle as a hitman by day, but her personal time is spent engaging in vigilante murders that she hopes will lead her to her ultimate target: the mobster responsible for her parents' death.",Crime
3520,"During the 1940s, a group of young men go off to war, leaving behind Ethel Ann (Mischa Barton), who is in love with one of them, Teddy. In modern-day Belfast, a man named Jimmy (Martin McCann) endeavors to return a ring found in the wreckage of a crashed plane. He travels to Michigan, where the grown Ethel Ann (Shirley MacLaine), who married another man after Teddy was killed in battle, now lives. Ethel Ann must decide whether to go with Jimmy to meet the soldier who last saw Teddy alive.",Non Crime
3521,A traveler obsessed with the supernatural visits an old inn and finds evidence of vampires.,Non Crime
3522,"After hiding his loot and getting thrown in jail, Ruby, a brooding outlaw encounters Quentin, a dim-witted and garrulous giant who befriends him. After Quentin botches a solo escape attempt, they make a break together. Unable to shake the clumsy Quentin Ruby is forced to take him along as he pursues his former partners in crime to avenge the death of the woman he loved and get to the money.",Crime
3523,"A nerdy teenage scientist discovers a formula for invisibility, and uses it to take revenge on all those who have wronged him--and also to spy on the girls' shower room.",Non Crime
3524,"Philip Kimberly, the former head of the British Secret Service who defected to Russia, is given plastic surgery and sent back to Britain by the KGB to retrieve some vital documents. With the documents in hand, he instead plays off MI6 and the KGB against each other.",Non Crime
3525,"When her father is murdered, a cosmetics heiress becomes the next target of an unknown killer amid the international jet set.",Crime
3526,A rookie cop teams up with a former detective with a supernatural gift to hunt down a serial killer.,Crime
3527,"Once a Los Angeles homicide detective, Police Chief Jesse Stone now presides over the quiet, seaside village of Paradise, Massachusetts. When the facts don't add up in a brutal Boston-area murder case, Jesse opens an investigation filled with surprises, unlikely suspects and grave danger. Though it's widely believed the murder was committed by an incarcerated serial killer, Jesse suspects another killer is at large and is hell-bent on bringing him to justice.",Crime
3528,"When ten executives secretly meet to sell off their company, they're murdered one by one in this darkly comedic romp through the halls of corporate America.",Non Crime
3529,"Memories: A woman wakes up on a street without memory. A husband cannot remember why his wife left him. The woman wanders the streets trying to contact the only phone number she has on her. The husband see's her ghost in his apartment and discovers her mutilated body in a large bag in his home (Korea). The Wheel: Extravagant cursed puppets cause fires, deaths, physical pain and a little girl to be possessed (Thailand). Going Home: A father goes in search of his missing son and is abducted by a strange man. The strangers wife has died of cancer three years prior but he keeps her in his apartment under the impression she will 'wake up' (Hong Kong)",Non Crime
3530,"Five members of a teen-age gang, including leader Jimmy Smith, are sent to the State Reformatory, presided over by the melodramatically callous Thompson. Soon, Patsy Gargan, a former gangster appointed Deputy Commissioner as a political favor, arrives complete with hip flask and blonde. Gargan falls for activist nurse Dorothy and, inspired by her, takes over the administration to run the place on radical principles. But Thompson, to conceal his years of graft, needs a quick way to discredit Gargan... Written by Rod Crawford",Crime
3531,"In a skiing station in Dakota, a gang of criminals leaded by Alexander ""Alex"" Ward plans the heist of golden bars from a small bank. While the lover of Alex, Gypsy Boulet, goes to an isolated cabin with the ski instructor Gil Jackson, a time bomb explodes a cave to divert the attention of the locals and the gangsters steal the gold. But the explosion releases a spider-like monster and due to a storm, the group becomes trapped in Gil's cabin and threatened by the creepy beast.",Crime
3532,"During Napoleon's victorious campaign in Germany, the city of Kolberg gets isolated from the retreating Prussian forces. The population of Kolberg refuses to capitulate and organizes the resistance against the French army, which immediately submits the city to massive bombardmentsKolberg"" is a unique document showing a well-oiled propaganda machine collapsing in the face of its immanent demise. It achieves the opposite of its intent. The stolid face at the end of the film with the proto-Nazi flag as a backdrop is supposed to convey a sense of determined conviction but there's fear in those eyes.",Non Crime
3533,"A teen girl disappears after trying to meet men online in order to escape her small town. Apparently, only her best friend worries enough to investigate the mystery.",Crime
3534,"They met on the Internet. They fell in love. They drove to the desert and stopped at an abandoned warehouse. They wandered inside. Inside they found unspeakable horror. Only one of them survived the ordeal of CANNIBAL. From a hospital bed, an injured Noelle tells shocked police detectives a tale of cannibal terror. In recounting her ordeal, the detectives learn of an even more awful truth behind the actions of this tragic couple. Horror master Ulli Lommel's depraved tale of a modern-day CANNIBAL is based on the real-life case of a man who murdered and consumed his lover -- liver and all! -- in a strange act of consensual love. In Lommel's film of the events, two star-crossed lovers enter a world where madness rules and even a loved one can transform into a flesh-eating cannibal.",Crime
3535,"Contact is a science fiction film about an encounter with alien intelligence. Based on the novel by Carl Sagan the film starred Jodie Foster as the one chosen scientist who must make some difficult decisions between her beliefs, the truth, and reality.",Non Crime
3536,"After a few years trying to earn money to marry Jessica Harrison (Sigrid Thornton), Jim Craig (Tom Burlinson) returns to Snowy River. But he finds that a lot of things have changed.",Non Crime
3537,A retired detective is trying to catch a serial killer who uses Russian letters to find his victims.,Crime
3538,"1954 British crime thriller by Lewis Gilbert, based on a novel by American novelist Richard Macaulay. Four men  in post-war London, two Brits and two Americans, feel forced to turn to crime by their financial problems, and decide to rob a mail van together.",Crime
3539,"Medical student Ted Grey (Milo Ventimiglia) graduates at the top of his class and quickly joins an elite pathology program, whose top students invite him into their circle. There he uncovers a gruesome secret: They play a game in which one tries to commit the perfect, undetectable murder, then the others compete to determine the victim's cause of death.",Crime
3540,"After Sabrina is abducted, she finds herself in an underground lair, forced to do battle with other innocent women for the amusement of unseen spectators. Each of these reluctant warriors has something to lose, but only one will remain when the game is done.",Non Crime
3541,"Luke's exultance at being selected for The Skulls (a secret society bred within the walls of a prominent Ivy League Campus) is soon overshadowed when he realises that all is 'not well in Wonderland'. For The Skulls is a breeding ground for the future powerful and elite. It's not only a far cry from his working class background, but it also hallows its own deep and dark secrets.",Crime
3542,"Terry Lambert is sleeping with Sylvia, the wife of his boss. One night, while in Terry's apartment, Sylvia witnesses a man assault a young woman, Denise, on the road below. Not wanting to reveal her affair with Terry, she keeps quiet. Terry instead steps forward, trying to help nab the criminal. However, he never saw the suspect and, when his lies are uncovered, the police begin to suspect his motives.",Crime
3543,"Edgar is a young upper-middle class man, close to completing 30 years old, he lives a full life crisis and is in a position common to the vast majority of Brazilians. On the one hand the power, represented by a corrupt state, abusive and absent in their taxes before their obligations. On the other, crime increasingly organized violence became a constant in the lives of citizens in large cities. Edgar responds to all this as a modern vigilante. With the help of ingredients such as technology, counter-information and manipulation, Edgar concocts a brilliant plan, using the greed of their opponents as the reason for its destruction. As the plot unfolds, we know more about the dark past of each character as Edgar fit the pieces together in an intriguing puzzle that makes up the film's plot.",Crime
3544,A woman goes behind bars in order to save her father's life.,Crime
3545,"Goof and Hugo are flatmates in Amsterdam who have made a tidy sum from having sex with tourists, then robbing them. Their goal is to spend the money together on a world trip and their scam is going well until they meet Lara, originally from Siberia, whom Goof becomes besotted with (IMDB)",Crime
3546,"The Biblical story of Noah and the Great Flood, with a parallel story of soldiers in the First World War.",Non Crime
3547,Loredana is a schoolgirl who takes advantage of her fellow students and teachers by using her innocent schoolgirl beauty. After she loses her virginity to an older man she soon realizes there are more important things to life than teasing men.,Non Crime
3548,"Only a few people still live in New York in 2015. They are organized in gangs with their own turf. One of them is led by Baron, another one by Carrot, and they are constantly at war with each other.",Non Crime
3549,"Jack Beauregard, one of the greatest gunman of the Old West, only wants to retire in peace and move to Europe. But a young gunfighter, known as ""Nobody"", who idolizes Beauregard, wants him to go out in glory. So he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.",Non Crime
3550,"In the coastal town of Los Angeles, a gang of bank robbers call themselves The Ex-Presidents commit their crimes while wearing masks of Reagan, Carter, Nixon and Johnson. The F.B.I. believes that the members of the gang could be surfers and send young agent Johnny Utah undercover at the beach to mix with the surfers and gather information.",Crime
3551,"Just before Halloween, three young brothers alone in a big house are menaced by three escaped mental patients who have murdered some traveling circus clowns and taken their identities.",Non Crime
3552,"The most prominent heads of state in the world begin gathering for a conference that could have a major impact on global politics. When MI-7 receives word that the Chinese premier has become the target of some high-powered killers, it falls on Johnny English to save the day. Armed with the latest high-tech weaponry and gadgets that would make even James Bond jealous, the once-disgraced agent uncovers evidence of a massive conspiracy involving some of the world's most powerful organisations, and vows to redeem his tarnished reputation by stopping the killers before they can strike.",Crime
3553,"Officer Kip White (Ben Kobold) is on a one-man mission to take down the European Cartel. After witnessing one of the cartel's thugs murder his best friend, White goes on a vengeance quest. He'll stop at nothing-not even the LAW-to find the cartel leaders and arrest them. But there are obstacles in White's path: the hot new street drug STAMP, plucky reporters, mysterious vigilantes, and even the Mayor of Chicago, Dennis (David Liebe Hart).",Non Crime
3554,"The wealthy playboy son of an assassinated South American diplomat discovers that his father was really murdered on orders of the corrupt president of the country--a man who was his father's friend and who, in fact, his father had helped put into power. He returns from living a jet-set life in Europe to lead a revolution against the government, only to find out that things aren't quite as black and white as he had assumed",Non Crime
3555,The Hong Kong super-cop must stop a group of blackmailing bombers at the same time that the villains of the first Police Story are out for revenge.,Crime
3556,"Three young women – Deena Jones, Effie White and Lorrell Robinson – dream of becoming pop stars and they get their wish when they're chosen to be backup singers for the legendary James 'Thunder' Early.",Non Crime
3557,"A lowly bank clerk, literally allergic to money and revolted by its nefarious influence on humanity, launches a campaign of harassment against a wealthy butcher, stealing small, insignificant items— but never money—from the man. The victim uses the thefts to make large and fraudulent insurance claims, refusing to finger the thief for fear his own financial improprieties might be exposed.",Non Crime
3558,"A sobering mid-life crisis fuels dissatisfaction in Philip Dimitrius, to the extent where the successful architect trades his marriage and career in for a spiritual exile on a remote Greek island where he hopes to conjure meaning into his life - trying the patience of his new girlfriend and angst-ridden teenage daughter.",Non Crime
3559,The classic Bullwinkle villains Boris and Natasha are brought to life in their first full-length movie.  1992  Sally Kellerman  Dave Thomas  John Candy  Alex Rocco,Non Crime
3560,"In the Antarctic, after an expedition with Dr. Davis McClaren, the sled dog trainer Jerry Shepherd has to leave the polar base with his colleagues due to the proximity of a heavy snow storm. He ties his dogs to be rescued after, but the mission is called-off and the dogs are left alone at their own fortune. For six months, Jerry tries to find a sponsor for a rescue mission.",Non Crime
3561,"In the days of King Henry IV,stalwart young Myles and his sister Meg have been raised as peasants,without any knowledge of who their father really was. But one day they journey to Macworth castle. There Myles falls in love with the Macworth's daughter Anne,makesfriends and enemies,and learns to be a knight.",Non Crime
3562,"Affectionate tribute to Bruce Vilanch, who writes material for celebrities who make public appearances, from Oscar hosts and award recipients to Presidents. We meet his mom and see photos of his childhood; in Chicago, he writes for the Tribune and then heads West. Whoopi Goldberg, Billy Crystal, Robin Williams, and Bette Midler talk with him and to the camera about working with Bruce, and we also watch Bruce help others prepare for Liz Taylor's 60th, Bill Clinton's 50th, and an AIDS awards banquet where the hirsute, rotund Vilanch lets his emotions show.",Non Crime
3563,"Unable to recall the past 24 hours, a British bank clerk is the prime suspect for a robbery/murder.",Crime
3564,"Scarlet Zabrinski, a successful, hard edged, L.A. matchmaker lives in the shadow of her overbearing mother, Ruth Zabrinski who relentlessly tries to find the perfect man for her daughter. Ben Zabrinski, Scarlet's pot smoking brother, an unemployed lawyer, becomes furious when Scarlet unknowingly sets him up with a porno star. When Sabrina Fisser, a homeless foreign actress, rear ends her on a calm sunny afternoon, Scarlet offers this seemingly helpless vagabond a place to stay for one night. One night becomes an eternity as the free spirited Sabrina outstays her welcome. When a vengeful Ben tries to seduce Sabrina, Scarlet finds herself protective of her new friend. A mutual attraction develops and the two unlikely characters explore the uncharted territory of unexpected love. Written by Randy Sinquefield",Non Crime
3565,"A plastic bag, thrown out in the trash, attempts to find his way back to his owner and along the way discovers the world.",Non Crime
3566,"A New York City drug dealer decides to get out of the business, but has to flee from mobsters.",Crime
3567,"A response to the failure of the American mass media to provide the public with relevant and accurate information about the standoff between the US and Iran, as happened before with the lead up to the invasion of Iraq. We have heard that Iran is a nuclear menace in defiance of the international community, bent on ""wiping Israel off the map"", supporting terrorism, and unwilling to negotiate. This documentary disputes these claims as they are presented to us and puts them in the context of present and historical US imperialism and hypocrisy with respect to Iran. It looks at the struggle for democracy inside Iran, the consequences of the current escalation and the potential US and/or Israeli attack, and suggests some alternatives to consider.",Non Crime
3568,"The story of Martha Moxley, 15 year old girl murdered in Greenwich in the 1970's, her murder going unsolved for 25 years.",Crime
3569,"After she has been dumped by her boyfriend, Pauline allows her sister to take her to a palace on the Italian Riviera.  Instead of savouring the delights of a carefree existence, Pauline prefers to take on the role of an amateur sleuth, convinced that a crime has been committed in the environs.  She ropes a handsome lifeguard into her investigation...",Non Crime
3570,"Clark Kellogg is a young man starting his first year at film school in New York City. After a small time crook steals all his belongings, Clark meets Carmine ""Jimmy the Toucan"" Sabatini, an ""importer"" bearing a startling resemblance to a certain cinematic godfather. When Sabatini makes Clark an offer he can't refuse, he finds himself caught up in a caper involving endangered species and fine dining.",Crime
3571,A semi-fictional account of life as a professional Football (American-style) player. Loosely based on the Dallas Cowboys team of the early 1970s.,Non Crime
3572,"This is a fine video from CSN. Lots of old, rare footage. Old clips of Neil Young. Covers the very beginning of the band all the way through 1988:  Crosby, Stills, &amp; Nash join forces for their first live performance video in over 2 decades! Filmed during their 2012 tour, CSN 2012 includes many of the trio's classic hits, some new and unreleased songs, and a rare performance of ""Suite: Judy Blue Eyes."" The disc also includes 'A Conversation with David, Stephen and Graham,' plus interviews with their band and crew. A must-have for any CSN fan.",Non Crime
3573,"D.I. Tom Thorne's latest case puts him on the hunt for not one, but two serial killers, who seem to be working together, yet killing separately.",Crime
3574,"""I saw these movies. They had a powerful effect on me. You should see them."" That's Martin Scorsese's message for this documentary. We meet his family on Elizabeth Street in New York; he's a third generation Italian with Sicilian roots. Starting in 1949, they watched movies on TV as well as in theaters, lots of Italian imports. Scorsese, with his narration giving a personal as well as a public context, shows extended clips of these movies. Films of Rossellini and De Sica fill part one; those of Visconti, Fellini, and Antonioni comprise part two. Scorsese takes time with emotion, style, staging, technique, political context, and cinematic influence. It's his movie family.",Non Crime
3575,A heated game of poker causes three men incarcerated for nonviolent offenses to brutalize their cellmate before taking drastic measures in order to cover up their crime.,Crime
3576,"Hong-yun is a high school girl in little mountain village when she falls head-over-heels for a handsome new school teacher, Mr. Jang. What with taking care of her youngest baby brother for her widowed mother and the impossible age difference, it is a roller-coaster ride for her as she tries to become someone special for Mr. Jang while he seems interested in the other new teacher at the school, Miss Yang.",Non Crime
3577,"Whether he’s singing an ode to “queer tattoos,” telling his potential paramour all the things he won’t be doing for her (he ain’t fightin’ no Lion), or lamenting his new vegan lifestyle (“Tofurkey? Tof**k yourself- I want some meat”), Stephen Lynch will always consider himself “a musician trapped in the body of a comedian.” His unique blend of musical based comedy has earned him fiercely loyal fans around the world who live to experience his sold-out live shows, five best-selling CDs, his RIAA-certified Gold DVD and his 2 top-rated Comedy Central Specials. You may also recognize him from his Tony-nominated role starring in The Wedding Singer on Broadway.  Hello Kalamazoo is his first special in over 10 years and was recorded at the end of his Lion tour.",Non Crime
3578,"In 1983, a naive man is detained by Australian Federal Police with lethal narcotics hidden in his stomach. After being apprehended, ‘The Mule’ makes a desperate choice... to defy his bodily functions and withhold the evidence – literally.",Crime
3579,"Cohabitating couple Gary and Brooke find their once-blissful romance on the rocks when petty spats about lemons and dirty dishes mushroom into an all-out battle for custody of their upscale Chicago condo. An escalating argument ensues as Gary and Brooke continue to live under the same roof, all while cooking up schemes to drive each other off the premises.",Non Crime
3580,"French artist and author Jean Giraud is one of the most famous and influential comic strip illustrators and authors of all time. He achieved his greatest fame as Moebius - not so much a pseudonym as an alter ego. With his triple-split personality - Jean Giraud, Moebius, Gir - he succeeded in making his work accessible in popular comic strip series like Blueberry, in metaphysical fantasies like John Difool and, not least, to a broad public, with set designs for films such as The Fifth Element. In Moebius Redux - A Life in Pictures an exceptional artist tells his life's and work's story. Extraordinary views on Paris, Los Angeles and the Mexican desert build a visual link between his life and his artistic universe, accompanied by the electronic soundtrack composed by ""Kraftwerk"" legend Karl Bartos.",Non Crime
3581,"The wife of a barbaric crime boss engages in a secretive romance with a gentle bookseller between meals at her husband's restaurant. Food, colour coding, sex, murder, torture and cannibalism are the exotic fare in this beautifully filmed but brutally uncompromising modern fable which has been interpreted as an allegory for Thatcherism.",Crime
3582,A Neo-Noir Marathi film on a detective who's looking for an opportunity to bring a change in his monotonous life...,Crime
3583,"Torchy, Steve, and Gahagan are on the trail of a bank robber aboard an ocean liner traveling from New York to L.A. via the Panama Canal.",Crime
3584,"Miles Logan is a jewel thief who just hit the big time by stealing a huge diamond. However, after two years in jail, he comes to find out that he hid the diamond in a police building that was being built at the time of the robbery. In an attempt to regain his diamond, he poses as a LAPD detective",Crime
3585,"A tangled network woven with tiny particles of movements broken out of found footage and compiled anew: the elements of the ""to the left, to the right, back and forth"" grammar of narrative space, discharged from all semantic burden. What remains is a self-sufficient swarm of splinters, fleeting vectors of lost direction, furrowed with the traces of the manual process of production.",Non Crime
3586,No overview found.,Non Crime
3587,"A month after Wai Ming broke up with Ken, she finds nude pictures of her on his website. To get back at him, she teams up with his new girlfriend.",Non Crime
3588,"Radhe is a hardcore gangster. A sharpshooter with a sharp brain, he works for Gani Bhai, the dreaded Mafioso, but on his own terms. Totally fearless, Radhe single handedly eliminates Gani Bhai's enemies one by one; making more enemies than he bargained for.",Crime
3589,"In 1594 in Brazil, the Tupinambás Indians are friends of the Frenches and their enemies are the Tupiniquins, friends of the Portugueses. A Frenchman (Arduíno Colassanti) is captured by the Tupinambás, and in spite of his trial to convince them that he is French, they believe he is Portuguese. The Frenchman becomes their slave, and maritally lives with Seboipepe (Ana Maria Magalhães). *Contains Spoilers* Later, he uses powder in the cannons that the Portuguese left behind to defeat the Tupiniquins in a battle. In order to celebrate the victory, the Indians decide to eat him.",Non Crime
3590,"The movie focuses on one of the events in Zendegi Edame Darad (1992), and explores the relationship between the movie director, and the actors. The local actors play a couple who got married right after the earthquake. In reality, the actor is trying to persuade the actress that they should get married.",Non Crime
3591,"An eccentric but faithful mafia, Chi-sung is sent to prison for his part in a gang fight. But when his parents are attacked by a rival mob and his own people take no action, he realizes that a decade of loyalty towards the gang has become futile. Determined to confront his own boss, he finds a way to escape from prison with his fellow inmates. Meanwhile, his friend Joo-joong is given the task to stop Chi-sung, forcing him to choose between the bond of friendship and loyalty towards the gang.",Crime
3592,"Two young English women go on a cycling tour of the French countryside. When one of them goes missing, the other begins to search for her. But who can she trust?",Non Crime
3593,"The stories of several young women who work in a 'precision optical instruments' factory during the second World War. Despite illness, injury, and tremendous personal hardship, the women persevere in their tasks, devoted to their work and their country's cause.",Non Crime
3594,"Al Roberts, a New York nightclub pianist, hitch-hikes to Hollywood to meet his girlfriend Sue. The gambler he's riding with, Charles, unexpectedly dies. Afraid the police wouldn't believe the truth, Al takes the man's identity. In a gas station, he gives a lift to Vera, a woman that knew Charles and blackmails Al with tragic consequences.",Crime
3595,"Sailor Ted meets and falls in love with Nora Paige, an aspiring Broadway show dancer, at the Lonely Hearts Club. After Ted rescues Lucy James' Pekinese during a public relations campaign on his submarine, Lucy falls in love with Ted; and Ted's captain orders him to meet Lucy for a date at a night club breaking a date with Nora. When she sees a picture of Ted and Lucy in the newspaper, Nora, who lives with Jenny and her daughter (Jenny's husband is Gunny), no longer wants anything to do with Ted.",Non Crime
3596,"In this French crime drama, two safe-crackers are breaking into a safe when they are caught in the act by a guard. One of the crooks kills the guard and flees leaving his partner behind. The abandoned accomplice is captured and convicted. One year passes before the convict is able to escape from prison and set out to exact his revenge.",Crime
3597,An Italian reporter is travelling on the Instabul-Athens train. A woman is murdered with the reporter's letter-opener so that makes him the main suspect. With the help of his Swedish girlfriend he starts investigating in order to prove his innocence.,Crime
3598,"Two alien brothers crash their ship in the U.S. They get separated, and one searches the country for the other one.",Non Crime
3599,Different factions in WWII-era Holland race to find a stash of Nazi gold.,Crime
3600,"This rarely seen gem from master Suzuki casts teenage heartthrob Koji Wada as a young misfit who suddenly finds himself the unwitting pawn in an escalating family feud that ultimately leads to tragedy.  Lean, mean, and stylish as always, this tale of youth-gone-wild is both vibrant and touching. Suzuki contrasts tranquil glimpses of traditional regional life with the emergence of the new rock 'n' roll youth culture and the greed and seething cynicism of encroaching Westernism.  Also released under the title ""Go To Hell, Hoodlums!"", this is a melodrama as colorful, shocking, and exhilarating as one would come to expect from Japan's master filmmaker.",Crime
3601,This is a comedy about a six-year-old girl who lives at a 5 star plaza and causes havoc.,Non Crime
3602,"A motor depot boss with links to black market traders sends the unsuspecting Rumyansev on a flight with stolen goods. On the road, the chauffer is arrested and put in prison. To cover their tracks the real criminals do everything possible to ensure Rumyansev receives the full blame. The heartless and suspicious chief of police isn't up to finding the real crooks and so Rumyansev's case gets passed to a clever and experienced General.",Crime
3603,"Corky Romano is a bumbling, simpleton, veterinarian and the youngest, outcast son of an aging gangster, named Pops Romano, who calls upon Corky to infiltrate the local FBI and retrieve and destroy evidence being used to incriminate Pops for racketeering charges.",Crime
3604,"Stephen, an international trader, tracks down his ex-wife Patricia in some Amazonian backwater. He needs her consent to a divorce so that he can marry Charlotte. Unfortunately, he discovers a son he didn’t know he had – Mimi-Siku. The young jungle boy yearns to see Paris so Stephen reluctantly agrees to take him back home with him for a few days. How will Mimi-Siku react to life in the great metropolis?",Non Crime
3605,A restaurant employee wanted for murder contracts Ebola by raping a woman in South Africa and starts an outbreak there and in Hong Kong when he returns home.,Crime
3606,Lunch Break features 42 workers as they take their midday break in a corridor stretching nearly the entire shipyard.,Non Crime
